idx,b_mm,theta_lo_deg,theta_hi_deg,theta_a0_deg,midpoint_deg,swing_deg,monotonic
350,1.39579158316633,88.7941343231281,-51.6596497556165,10.7790613938496,18.5672422837558,140.453784078745,1
351,1.40981963927856,88.9324937840971,-51.7932150424123,10.7378887792419,18.5696393708424,140.725708826509,1
352,1.42384769539078,89.071223241665,-51.9271340611826,10.696401881552,18.5720445902412,140.998357302848,1
353,1.43787575150301,89.2103229019292,-52.0614077927244,10.6545971142002,18.5744575546024,141.271730694654,1
354,1.45190380761523,89.3497929571746,-52.1960372231995,10.6124708362257,18.5768778669876,141.545830180374,1
355,1.46593186372745,89.4896335856874,-52.3310233442862,10.5700193512598,18.5793051207006,141.820656929974,1
356,1.47995991983968,89.6298449515684,-52.4663671533379,10.5272389064759,18.5817388991152,142.096212104906,1
357,1.4939879759519,89.7704272045454,-52.6020696535463,10.4841256915162,18.5841787754995,142.372496858092,1
358,1.50801603206413,89.9113804797842,-52.7381318541098,10.440675837393,18.5866243128372,142.649512333894,1
359,1.52204408817635,90.0527048976998,-52.8745547704079,10.3968854153659,18.589075063646,142.927259668108,1
360,1.53607214428858,90.1944005637657,-53.0113394241815,10.352750435793,18.5915305697921,143.205739987947,1
361,1.5501002004008,90.3364675683229,-53.1484868437185,10.3082668469554,18.5939903623022,143.484954412041,1
362,1.56412825651303,90.478905986388,-53.2859980640463,10.2634305338548,18.5964539611709,143.764904050434,1
363,1.57815631262525,90.621715877461,-53.4238741271302,10.2182373169838,18.5989208751654,144.045590004591,1
364,1.59218436873748,90.7648972853316,-53.5621160820788,10.1726829510667,18.6013906016264,144.32701336741,1
365,1.6062124248497,90.9084502378855,-53.7007249853555,10.1267631237716,18.603862626265,144.609175223241,1
366,1.62024048096192,91.0523747469097,-53.8397019009978,10.0804734543921,18.606336422956,144.892076647907,1
367,1.63426853707415,91.1966708078969,-53.9790479008433,10.0338094924984,18.6088114535268,145.17571870874,1
368,1.64829659318637,91.3413383998502,-54.1187640647635,9.98676671655632,18.6112871675434,145.460102464614,1
369,1.6623246492986,91.4863774850866,-54.2588514809054,9.93934053251335,18.6137630020906,145.745228965992,1
370,1.67635270541082,91.6317880090395,-54.3993112459405,9.89152627235196,18.6162383815495,146.03109925498,1
371,1.69038076152305,91.7775699000618,-54.5401444653228,9.84331919260774,18.6187127173695,146.317714365385,1
372,1.70440881763527,91.9237230692277,-54.681352253555,9.79471447285238,18.6211854078364,146.605075322783,1
373,1.7184368737475,92.0702474101344,-54.8229357344636,9.74570721414023,18.6236558378354,146.893183144598,1
374,1.73246492985972,92.2171427987036,-54.964896041483,9.69629243741737,18.6261233786103,147.182038840187,1
375,1.74649298597194,92.3644090929817,-55.1072343179494,9.64646508189228,18.6285873875161,147.471643410931,1
376,1.76052104208417,92.5120461329412,-55.2499517174039,9.59622000336685,18.6310472077686,147.761997850345,1
377,1.77454909819639,92.6600537402804,-55.3930494039064,9.54555197252686,18.633502168187,148.053103144187,1
378,1.78857715430862,92.8084317182237,-55.5365285523593,9.4944556731905,18.6359515829322,148.344960270583,1
379,1.80260521042084,92.9571798513212,-55.6803903488426,9.44292570051402,18.6383947512393,148.637570200164,1
380,1.81663326653307,93.1062979052488,-55.8246359909597,9.39095655915305,18.6408309571446,148.930933896209,1
